,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
105,3,Jamaica,Queens,40.702677,-73.7889689,95.77,231,89.82,10,1000,70.0,9910,13.0,629,0,43.0
106,0,Jamaica Estates,Queens,40.7179512,-73.783822,182.95,19,170.31,35,750,135.0,596,13.0,192,0,31.0
107,0,Jamaica Hills,Queens,40.7135548,-73.796488,132.12,8,106.32,50,325,83.5,69,6.0,25,0,9.0
108,0,Kensington,Brooklyn,40.63852019999999,-73.97318729999999,92.89,175,74.46,24,525,70.0,2972,4.0,154,0,17.0
109,0,Kew Gardens,Queens,40.705695,-73.8272029,88.38,32,51.31,35,219,67.5,332,4.0,137,0,10.0
110,0,Kew Gardens Hills,Queens,40.73844709999999,-73.8104048,112.31,26,78.93,40,399,92.5,331,4.5,82,0,13.0
111,0,Kingsbridge,Bronx,40.8833912,-73.9051185,77.93,70,51.46,27,399,70.0,1435,8.0,116,0,20.0
112,3,Kips Bay,Manhattan,40.74232920000001,-73.9800645,202.41,470,199.29,10,2750,152.0,5837,2.0,276,0,12.0
113,0,Laurelton,Queens,40.67764,-73.7447853,95.33,18,66.0,34,254,75.0,528,11.0,119,0,29.0
114,0,Lighthouse Hill,Staten Island,40.5772702,-74.1342726,157.5,2,60.1,115,200,157.5,78,39.0,49,29,39.0
115,0,Little Italy,Manhattan,40.7191413,-73.9973273,222.07,121,481.05,41,5250,150.0,2799,4.0,219,0,23.0
116,0,Little Neck,Queens,40.7612957,-73.7330753,75.2,5,48.67,32,149,50.0,19,1.0,12,0,4.0
117,3,Long Island City,Queens,40.744679,-73.9485424,127.47,537,124.62,30,2000,99.0,12256,5.0,248,0,23.0
118,0,Longwood,Bronx,40.8248438,-73.8915875,91.92,62,88.88,27,680,75.0,1653,8.0,185,0,27.0
119,4,Lower East Side,Manhattan,40.715033,-73.9842724,186.31,911,478.66,29,9999,139.0,24161,6.0,540,0,27.0
120,0,Manhattan Beach,Brooklyn,40.57815799999999,-73.93892129999999,103.5,8,40.43,45,150,112.0,405,50.0,118,0,51.0
